S. No,Category,State/UT,Forced Labour,Sexual Exploitation for Prostitution,Other forms of Sexual Exploitation,Domestic Servitude,Forced Marriage,Petty Crimes,Child Pornography,Begging,Drug Peddling,Removal of Organs,Other reasons,Total Persons
1,State,Andhra Pradesh,2,736,11,36,0,3,0,0,0,0,95,883
2,State,Arunachal Pradesh,0,0,0,0,1,0,0,0,0,0,0,1
3,State,Assam,36,51,0,5,0,0,0,0,0,0,0,92
4,State,Bihar,193,43,0,0,0,0,0,0,0,0,0,236
5,State,Chhattisgarh,191,35,6,31,1,0,0,0,0,0,1,265
6,State,Goa,0,86,0,0,0,0,0,0,0,0,0,86
7,State,Gujarat,125,117,184,16,35,3,0,0,0,0,97,577
8,State,Haryana,1,27,46,0,6,0,0,8,0,1,19,108
9,State,Himachal Pradesh,0,141,0,2,12,0,0,0,0,0,1,156
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0
11,State,Jharkhand,20,2,0,18,3,2,0,0,0,0,0,45
12,State,Karnataka,317,429,25,4,9,0,0,1,0,1,226,1012
13,State,Kerala,346,20,28,8,0,0,42,18,0,0,152,614
14,State,Madhya Pradesh,1539,585,1926,157,101,12,96,0,0,0,401,4817
15,State,Maharashtra,73,1020,33,3,2,0,0,0,0,0,10,1141
16,State,Manipur,17,3,0,0,0,0,0,0,0,0,1,21
17,State,Meghalaya,0,8,0,0,0,0,0,0,0,0,0,8
18,State,Mizoram,0,2,0,0,0,0,0,0,0,0,0,2
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Odisha,457,11,2,11,12,0,0,1,0,0,2,496
21,State,Punjab,31,0,0,0,1,0,0,0,0,0,2,34
22,State,Rajasthan,5099,30,118,0,8,0,24,1,0,0,487,5767
23,State,Sikkim,0,1,0,0,0,0,0,0,0,0,0,1
24,State,Tamil Nadu,1200,1087,9,0,9,0,0,1,0,0,65,2371
25,State,Telangana,0,314,7,0,1,0,0,1,0,0,32,355
26,State,Tripura,0,0,0,0,0,0,0,0,0,0,10,10
27,State,Uttar Pradesh,687,25,24,39,27,31,0,40,6,0,45,924
28,State,Uttarakhand,0,13,5,1,0,0,0,0,0,0,3,22
29,State,West Bengal,23,155,165,4,121,161,0,0,2,0,2164,2793
Total (States),State,Total (States),10357,4941,2589,335,349,212,162,71,8,2,3813,22837
30,UT,A & N Islands,0,5,0,0,0,0,0,0,0,0,0,5
31,UT,Chandigarh,0,0,0,1,0,0,0,0,0,0,0,1
32,UT,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
33,UT,Daman & Diu,0,10,0,0,0,0,0,0,0,0,0,10
34,UT,Delhi,152,24,1,76,0,0,0,0,0,0,11,264
35,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
36,UT,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),UT,Total (UTs),152,39,1,77,0,0,0,0,0,0,11,280
Total (All India),Total (All India),Total (All India),10509,4980,2590,412,349,212,162,71,8,2,3824,23117
