S. No. (Col.1),Category (Col.2),State/UT (Col.3),Cases Reported (Col.4),Victims of (Section 4 & 6 of POCSO Act r/w Section 376 IPC)Below 6 Years (Col.5),Victims of (Section 4 & 6 of POCSO Act r/w Section 376 IPC)6 Years & Above - Below 12 Years (Col.6),Victims of (Section 4 & 6 of POCSO Act r/w Section 376 IPC)12 Years & Above – Below 16 Years (Col.7),Victims of (Section 4 & 6 of POCSO Act r/w Section 376 IPC)16 Years & Above – Below 18 Years (Col.8),Victims of (Section 4 & 6 of POCSO Act r/w Section 376 IPC)Total Girl /Child Victims (Col.9),Victims of (Section 376 IPC)18 Years & Above – Below 30 Years (Col.10),Victims of (Section 376 IPC)30 Years & Above – Below 45 Years (Col.11),Victims of (Section 376 IPC)45 Years & Above – Below 60 Years (Col.12),Victims of (Section 376 IPC)60 Years & Above (Col.13),Victims of (Section 376 IPC)Total Women / Adult Victims (Col.14),Total Victims (Col.15) = (Col.9+ Col.14)
1,State,Andhra Pradesh,994,17,43,142,261,463,436,85,9,2,532,995
2,State,Arunachal Pradesh,92,3,12,25,10,50,32,7,2,1,42,92
3,State,Assam,1779,0,52,147,265,464,938,373,4,0,1315,1779
4,State,Bihar,1008,0,7,41,121,169,684,146,9,0,839,1008
5,State,Chhattisgarh,1626,33,79,340,532,984,475,150,13,5,643,1627
6,State,Goa,61,2,3,15,20,40,8,11,2,0,21,61
7,State,Gujarat,982,10,23,175,319,527,304,146,7,2,459,986
8,State,Haryana,1187,32,82,194,210,518,474,165,29,3,671,1189
9,State,Himachal Pradesh,252,6,13,67,62,148,81,23,6,0,110,258
10,State,Jammu & Kashmir,256,2,1,9,9,21,182,51,2,0,235,256
11,State,Jharkhand,1109,0,16,51,138,205,657,212,36,0,905,1110
12,State,Karnataka,1655,39,73,295,735,1142,418,94,14,3,529,1671
13,State,Kerala,1656,42,146,276,412,876,525,226,27,7,785,1661
14,State,Madhya Pradesh,4882,39,153,964,1323,2479,1790,545,86,8,2429,4908
15,State,Maharashtra,4189,107,241,732,1230,2310,1425,436,42,3,1906,4216
16,State,Manipur,55,1,2,7,8,18,24,11,2,0,37,55
17,State,Meghalaya,190,12,26,49,36,123,49,20,2,0,71,194
18,State,Mizoram,23,1,2,4,2,9,7,5,0,2,14,23
19,State,Nagaland,26,2,5,4,8,19,1,6,0,0,7,26
20,State,Odisha,1983,5,32,404,817,1258,597,127,2,0,726,1984
21,State,Punjab,838,15,33,175,187,410,281,139,9,1,430,840
22,State,Rajasthan,3656,6,37,195,539,777,2032,807,41,0,2880,3657
23,State,Sikkim,92,0,16,27,14,57,32,9,0,0,41,98
24,State,Tamil Nadu,319,0,0,0,0,0,279,37,4,0,320,320
25,State,Telangana,1278,25,65,272,257,619,480,137,26,16,659,1278
26,State,Tripura,207,5,28,40,35,108,73,24,2,0,99,207
27,State,Uttar Pradesh,4816,56,271,1078,710,2115,2092,543,65,2,2702,4817
28,State,Uttarakhand,336,2,13,41,35,91,166,74,5,0,245,336
29,State,West Bengal,1110,0,0,0,0,0,804,268,38,0,1110,1110
Total (States),State,Total (States),36657,462,1474,5769,8295,16000,15346,4877,484,55,20762,36762
30,UT,A & N Islands,30,1,0,0,0,1,25,3,1,0,29,30
31,UT,Chandigarh,68,2,4,18,17,41,21,6,0,1,28,69
32,UT,D&N Haveli,14,0,0,6,3,9,5,0,0,0,5,14
33,UT,Daman & Diu,12,0,0,2,6,8,1,3,0,0,4,12
34,UT,Delhi,2155,55,116,294,335,800,1059,302,9,0,1370,2170
35,UT,Lakshadweep,5,0,2,0,0,2,2,1,0,0,3,5
36,UT,Puducherry,6,0,0,2,0,2,3,0,0,1,4,6
Total (UTs),UT,Total (UTs),2290,58,122,322,361,863,1116,315,10,2,1443,2306
Total (All India),Total (All India),Total (All India),38947,520,1596,6091,8656,16863,16462,5192,494,57,22205,39068
Percentage Share of Age-Group of Victims,Percentage Share of Age-Group of Victims,Percentage Share of Age-Group of Victims,NA,1.3,4.1,15.6,22.2,43.2,42.1,13.3,1.3,0.1,56.8,100
